Level 1-1 level2.txt
Tile Ground 32 32
Tile Ground 96 32
Tile Ground 160 32
Tile Ground 224 32
Tile Ground 288 32
Tile Ground 352 32
Tile Ground 416 32
Dec  CloudSmall 400 600
Dec  BushBig 200 128
Tile Ground 480 32
Tile Ground 544 32
Tile Question 288 228
Tile Brick 352 228
Tile Question 416 228
Tile Ground 608 32
Tile Ground 672 32
Tile Ground 736 32
Tile Question 544 228
Tile Brick 608 228
Tile Question 672 228
Tile PipeTall 904 144
Tile PipeTall 1146 144
Dec  Bush 1400 96
Tile Ground 800 32
Tile Ground 864 32
Tile Ground 928 32
Tile Brick 416 424
Tile Question 480 424
Tile Brick 1760 228
Tile Brick 544 424
Dec  CloudSmall 1000 500
Dec  CloudSmall 1300 600
Tile Ground 1120 32
Tile Ground 1184 32
Tile Ground 1248 32
Tile Ground 1312 32
Tile Ground 1376 32
Tile Ground 1440 32
Tile Ground 1504 32
Tile Ground 1568 32
Tile Ground 1632 32
Tile Brick 1568 228
Tile Question 1632 228
Tile Brick 1696 228
Tile Brick 1760 228
Tile Question 1824 228
Tile Brick 1888 228
Tile Question 1696 424
Tile Question 1760 424
Tile Ground 1824 32
Tile Ground 1888 32
Tile Ground 1952 32
Tile Ground 2016 32
Tile Ground 2080 32
Dec  CloudSmall 2000 450
Dec  CloudSmall 2200 500
Dec  BushBig 2000 128
Tile PipeTall 2272 144
Tile PipeTall 2656 144
Tile Ground 2144 32
Tile Ground 2208 32
Tile Ground 2272 32
Tile Ground 2336 32
Tile Ground 2400 32
Tile Ground 2464 32
Tile Ground 2528 32
Tile Ground 2592 32
Tile Ground 2656 32
Tile Ground 2720 32
Tile Ground 2784 32
Tile Ground 2848 32
Tile Ground 2912 32
Tile Ground 2976 32
Tile Ground 3040 32
Tile Ground 3104 32
Dec  Bush 2860 96
Tile Block 3040 96
Tile Block 3104 96
Tile Block 3104 160
Tile Ground 3296 32
Tile Block 3296 96
Tile Block 3296 160
Tile Block 3296 224
Tile Question 3296 484
Dec  CloudSmall 3400 570
Dec  CloudSmall 3800 500
Dec  CloudSmall 4000 600
Tile Ground 3552 32
Tile Block 3552 96
Tile Block 3552 160
Tile Block 3552 224
Tile Question 3552 484
Tile Ground 3808 32
Tile Block 3808 96
Tile Block 3808 160
Tile Block 3808 224
Tile Question 3808 484
Dec  CloudSmall 4400 470
Dec  BushBig 4970 128
Tile Block 4960 352
Dec  CloudSmall 5000 600
Tile Ground 4128 32
Tile Ground 4192 32
Tile Ground 4256 32
Tile Ground 4320 32
Tile Ground 4384 32
Tile Ground 4448 32
Tile Ground 4512 32
Tile Ground 4576 32
Tile Ground 4640 32
Tile Ground 4704 32
Tile Block 4320 96
Tile Block 4384 96
Tile Block 4448 96
Tile Block 4512 96
Tile Block 4576 96
Tile Block 4640 96
Tile Block 4704 96
Tile Block 4384 160
Tile Block 4448 160
Tile Block 4512 160
Tile Block 4576 160
Tile Block 4640 160
Tile Block 4704 160
Tile Block 4448 224
Tile Block 4512 224
Tile Block 4576 224
Tile Block 4640 224
Tile Block 4704 224
Tile Block 4512 288
Tile Block 4576 288
Tile Block 4640 288
Tile Block 4704 288
Tile Block 4576 352
Tile Block 4640 352
Tile Block 4704 352
Tile Block 4640 416
Tile Block 4704 416
Tile Ground 4768 32
Tile Ground 4832 32
Tile Ground 4896 32
Tile Ground 4960 32
Tile Ground 5024 32
Tile Ground 5088 32
Tile Ground 5152 32
Tile Ground 5216 32
Tile Ground 5280 32
Tile Warp 5280 352
Tile Ground 5344 32
Tile Ground 5408 32
Tile Ground 5472 32
Tile Ground 5536 32
Tile Ground 5600 32
Tile Ground 5664 32
Tile Ground 5728 32
Tile Ground 5792 32
Tile Ground 5856 32
Tile Ground 5920 32
Tile Ground 5984 32
Tile Ground 6048 32
Tile Ground 6112 32
Tile Ground 6176 32
Tile Ground 6240 32
Tile Ground 6304 32
Tile Ground 6368 32
Player 128 400 60 100 5 20 20 -0.75 Fist
NPC Nightmare  0 32 3
NPC Nightmare  0 96 3
NPC Nightmare  0 160 3
NPC Nightmare  0 224 3
NPC Nightmare  0 288 3
NPC Nightmare  0 352 3
NPC Nightmare  0 416 3
NPC Nightmare  0 480 3
NPC Nightmare  0 544 3
NPC Nightmare  0 608 3
NPC Nightmare  0 672 3
NPC Nightmare  0 736 3
NPC SodaEnemy  1000 500 5
NPC CakeEnemy  500 96 5
NPC ChipsEnemy 800 96 -2
